date,count,total
04/11/2016,2,284
04/12/2016,3,287
04/13/2016,3,290
04/14/2016,1,291
04/15/2016,3,294
04/16/2016,1,295
04/17/2016,5,300
04/18/2016,2,302
04/19/2016,3,305
04/20/2016,2,307
04/21/2016,1,308
04/22/2016,2,310
04/23/2016,5,315
04/25/2016,1,316
04/26/2016,4,320
04/27/2016,3,323
04/28/2016,4,327
04/29/2016,1,328
04/30/2016,4,332
05/01/2016,2,334
05/02/2016,1,335
05/03/2016,1,336
05/04/2016,4,340
05/05/2016,3,343
05/06/2016,1,344
05/07/2016,3,347
05/08/2016,1,348
05/09/2016,6,354
05/10/2016,1,355
05/11/2016,4,359
05/13/2016,1,360
05/14/2016,4,364
05/15/2016,1,365
05/16/2016,1,366
05/17/2016,1,367
05/18/2016,3,370
05/19/2016,5,375
05/20/2016,1,376
05/21/2016,3,379
05/22/2016,4,383
05/23/2016,1,384
05/24/2016,3,387
05/25/2016,2,389
05/26/2016,7,396
05/27/2016,1,397
05/28/2016,2,399
05/29/2016,4,403
05/30/2016,2,405
05/31/2016,1,406
06/01/2016,3,409
06/02/2016,2,411
06/03/2016,2,413
06/04/2016,3,416
06/05/2016,1,417
06/06/2016,2,419
06/07/2016,4,423
06/08/2016,1,424
06/09/2016,5,429
06/10/2016,4,433
06/11/2016,2,435
06/12/2016,3,438
06/13/2016,4,442
06/14/2016,4,446
06/15/2016,2,448
06/16/2016,4,452
06/18/2016,3,455
06/19/2016,2,457
06/20/2016,2,459
06/21/2016,3,462
06/22/2016,6,468
06/23/2016,3,471
06/24/2016,5,476
06/25/2016,4,480
06/26/2016,4,484
06/27/2016,4,488
06/28/2016,2,490
06/29/2016,4,494
06/30/2016,3,497
07/01/2016,3,500
07/02/2016,2,502
07/03/2016,3,505
07/04/2016,3,508
07/05/2016,4,512
07/06/2016,2,514
07/07/2016,3,517
07/08/2016,1,518
07/09/2016,1,519
07/10/2016,1,520
07/11/2016,5,525
07/12/2016,1,526
07/13/2016,2,528
07/14/2016,1,529
07/15/2016,1,530
07/16/2016,3,533
07/17/2016,4,537
07/18/2016,1,538
07/20/2016,1,539
07/21/2016,2,541
07/22/2016,1,542
07/23/2016,3,545
07/24/2016,2,547
07/25/2016,2,549
07/26/2016,2,551
07/27/2016,6,557
07/28/2016,6,563
07/29/2016,2,565
07/31/2016,3,568
08/01/2016,4,572
08/02/2016,5,577
08/03/2016,3,580
08/05/2016,4,584
08/07/2016,2,586
08/08/2016,5,591
08/09/2016,3,594
08/11/2016,3,597
08/12/2016,2,599
08/13/2016,4,603
08/15/2016,2,605
08/16/2016,7,612
08/17/2016,1,613
08/18/2016,7,620
08/19/2016,5,625
08/20/2016,1,626
08/21/2016,1,627
08/22/2016,1,628
08/23/2016,1,629
08/24/2016,3,632
08/25/2016,3,635
08/26/2016,1,636
08/27/2016,3,639
08/28/2016,1,640
08/29/2016,4,644
08/30/2016,4,648
08/31/2016,2,650
09/01/2016,4,654
09/02/2016,4,658
09/03/2016,4,662
09/04/2016,2,664
09/05/2016,2,666
09/06/2016,5,671
09/07/2016,3,674
09/08/2016,2,676
09/09/2016,3,679
09/10/2016,2,681
09/12/2016,3,684
09/14/2016,1,685
09/15/2016,3,688
09/16/2016,4,692
09/17/2016,5,697
09/18/2016,1,698
09/19/2016,3,701
09/20/2016,6,707
09/21/2016,1,708
09/23/2016,3,711
09/25/2016,1,712
09/26/2016,4,716
09/27/2016,2,718
09/28/2016,2,720
09/29/2016,1,721
09/30/2016,6,727
10/01/2016,2,729
10/02/2016,2,731
10/03/2016,2,733
10/04/2016,3,736
10/05/2016,2,738
10/07/2016,5,743
10/08/2016,4,747
10/09/2016,2,749
10/10/2016,4,753
10/11/2016,2,755
10/12/2016,3,758
10/13/2016,3,761
10/14/2016,3,764
10/15/2016,1,765
10/16/2016,2,767
10/17/2016,3,770
10/18/2016,4,774
10/19/2016,3,777
10/20/2016,1,778
10/21/2016,2,780
10/22/2016,1,781
10/23/2016,3,784
10/24/2016,1,785
10/25/2016,4,789
10/26/2016,2,791
10/27/2016,3,794
10/28/2016,3,797
10/30/2016,4,801
10/31/2016,3,804
11/01/2016,1,805
11/02/2016,2,807
11/03/2016,3,810
11/04/2016,2,812
11/05/2016,5,817
11/06/2016,6,823
11/07/2016,1,824
11/08/2016,4,828
11/09/2016,1,829
11/10/2016,2,831
11/11/2016,4,835
11/12/2016,2,837
11/13/2016,3,840
11/15/2016,3,843
11/16/2016,2,845
11/18/2016,5,850
11/19/2016,4,854
11/20/2016,2,856
11/21/2016,2,858
11/22/2016,4,862
11/23/2016,2,864
11/24/2016,1,865
11/25/2016,3,868
11/26/2016,1,869
11/27/2016,4,873
11/28/2016,3,876
11/29/2016,4,880
11/30/2016,1,881
12/01/2016,3,884
12/02/2016,3,887
12/03/2016,1,888
12/04/2016,2,890
12/06/2016,4,894
12/07/2016,5,899
12/08/2016,1,900
12/09/2016,3,903
12/10/2016,2,905
12/11/2016,5,910
12/12/2016,3,913
12/13/2016,2,915
12/15/2016,1,916
12/16/2016,1,917
12/17/2016,3,920
12/18/2016,3,923
12/19/2016,1,924
12/20/2016,3,927
12/21/2016,8,935
12/22/2016,1,936
12/23/2016,3,939
12/24/2016,4,943
12/25/2016,3,946
12/27/2016,4,950
12/28/2016,1,951
12/29/2016,1,952
12/30/2016,3,955
12/31/2016,3,958
01/01/2017,6,6
01/03/2017,2,8
01/04/2017,4,12
01/05/2017,2,14
01/06/2017,2,16
01/07/2017,6,22
01/08/2017,1,23
01/09/2017,2,25
01/10/2017,2,27
01/11/2017,3,30
01/12/2017,3,33
01/13/2017,1,34
01/14/2017,2,36
01/15/2017,4,40
01/16/2017,3,43
01/17/2017,2,45
01/18/2017,6,51
01/19/2017,3,54
01/20/2017,1,55
01/21/2017,2,57
01/22/2017,3,60
01/23/2017,5,65
01/24/2017,8,73
01/25/2017,3,76
01/26/2017,4,80
01/27/2017,1,81
01/28/2017,4,85
01/29/2017,2,87
01/30/2017,4,91
01/31/2017,1,92
02/01/2017,2,94
02/02/2017,3,97
02/03/2017,7,104
02/04/2017,3,107
02/05/2017,3,110
02/06/2017,3,113
02/07/2017,5,118
02/08/2017,3,121
02/09/2017,4,125
02/10/2017,8,133
02/11/2017,4,137
02/12/2017,3,140
02/13/2017,3,143
02/14/2017,3,146
02/15/2017,3,149
02/16/2017,4,153
02/17/2017,4,157
02/18/2017,2,159
02/19/2017,4,163
02/20/2017,2,165
02/21/2017,5,170
02/22/2017,3,173
02/23/2017,4,177
02/24/2017,3,180
02/25/2017,2,182
02/26/2017,4,186
02/27/2017,2,188
02/28/2017,3,191
03/01/2017,1,192
03/02/2017,5,197
03/03/2017,2,199
03/04/2017,4,203
03/07/2017,2,205
03/08/2017,3,208
03/09/2017,2,210
03/10/2017,1,211
03/11/2017,2,213
03/12/2017,2,215
03/13/2017,3,218
03/14/2017,5,223
03/15/2017,2,225
03/16/2017,5,230
03/17/2017,3,233
03/18/2017,3,236
03/19/2017,5,241
03/22/2017,3,244
03/23/2017,3,247
03/24/2017,3,250
03/25/2017,1,251
03/26/2017,4,255
03/27/2017,3,258
03/28/2017,2,260
03/29/2017,6,266
03/30/2017,1,267
04/01/2017,2,269
04/03/2017,1,270
