race,state,statecode,count
W,New Mexico,NM,754700
A,New York,NY,1618900
B,New York,NY,2684400
H,New York,NY,3665000
N,New York,NY,46200
O,New York,NY,490000
total,New York,NY,19016900
W,New York,NY,10508500
A,North Carolina,NC,294300
B,North Carolina,NC,2095600
H,North Carolina,NC,962600
N,North Carolina,NC,103700
O,North Carolina,NC,274100
total,North Carolina,NC,10044400
W,North Carolina,NC,6314100
A,North Dakota,ND,14400
B,North Dakota,ND,22200
H,North Dakota,ND,25800
N,North Dakota,ND,37500
O,North Dakota,ND,17400
total,North Dakota,ND,730600
W,North Dakota,ND,613100
A,Ohio,OH,260100
B,Ohio,OH,1376200
H,Ohio,OH,434900
N,Ohio,OH,19200
O,Ohio,OH,314800
total,Ohio,OH,11355900
W,Ohio,OH,8947700
A,Oklahoma,OK,78400
B,Oklahoma,OK,267700
H,Oklahoma,OK,414200
N,Oklahoma,OK,288000
O,Oklahoma,OK,275500
total,Oklahoma,OK,3816100
W,Oklahoma,OK,2492200
A,Oregon,OR,188400
B,Oregon,OR,74300
H,Oregon,OR,545300
N,Oregon,OR,39800
O,Oregon,OR,171100
total,Oregon,OR,4110800
W,Oregon,OR,3091900
A,Pennsylvania,PA,435300
B,Pennsylvania,PA,1274800
H,Pennsylvania,PA,939900
N,Pennsylvania,PA,12100
O,Pennsylvania,PA,275500
total,Pennsylvania,PA,12388100
W,Pennsylvania,PA,9447800
A,Rhode Island,RI,34700
B,Rhode Island,RI,57000
H,Rhode Island,RI,162700
N,Rhode Island,RI,
O,Rhode Island,RI,31600
total,Rhode Island,RI,1014000
W,Rhode Island,RI,725400
A,South Carolina,SC,76700
B,South Carolina,SC,1298200
H,South Carolina,SC,284100
N,South Carolina,SC,14900
O,South Carolina,SC,106000
total,South Carolina,SC,4929800
W,South Carolina,SC,3146900
A,South Dakota,SD,10900
B,South Dakota,SD,18500
H,South Dakota,SD,32100
N,South Dakota,SD,73100
O,South Dakota,SD,21200
total,South Dakota,SD,848700
W,South Dakota,SD,692900
A,Tennessee,TN,113800
B,Tennessee,TN,1087600
H,Tennessee,TN,361800
N,Tennessee,TN,14700
O,Tennessee,TN,144200
total,Tennessee,TN,6586400
W,Tennessee,TN,4860100
A,Texas,TX,1389300
B,Texas,TX,3251900
H,Texas,TX,11163700
N,Texas,TX,69200
O,Texas,TX,542300
total,Texas,TX,28024000
W,Texas,TX,11607500
A,Utah,UT,72800
B,Utah,UT,35800
H,Utah,UT,438200
N,Utah,UT,29100
O,Utah,UT,108600
total,Utah,UT,3105900
W,Utah,UT,2421400
A,Vermont,VT,11700
B,Vermont,VT,6600
H,Vermont,VT,11000
N,Vermont,VT,2100
O,Vermont,VT,11300
total,Vermont,VT,600600
W,Vermont,VT,557900
A,Virginia,VA,536700
B,Virginia,VA,1519400
H,Virginia,VA,779900
N,Virginia,VA,16100
O,Virginia,VA,295900
total,Virginia,VA,8182100
W,Virginia,VA,5034100
A,Washington,WA,648800
B,Washington,WA,268700
H,Washington,WA,949700
N,Washington,WA,77900
O,Washington,WA,416700
total,Washington,WA,7368000
W,Washington,WA,5006200
A,West Virginia,WV,13100
B,West Virginia,WV,63300
H,West Virginia,WV,22500
N,West Virginia,WV,1600
O,West Virginia,WV,31300
total,West Virginia,WV,1752300
W,West Virginia,WV,1620000
A,Wisconsin,WI,159500
B,Wisconsin,WI,349400
H,Wisconsin,WI,393600
N,Wisconsin,WI,43800
O,Wisconsin,WI,118100
total,Wisconsin,WI,5662800
W,Wisconsin,WI,4598500
A,Wyoming,WY,6000
B,Wyoming,WY,2700
H,Wyoming,WY,56000
N,Wyoming,WY,12900
O,Wyoming,WY,11100
total,Wyoming,WY,560300
W,Wyoming,WY,471600
