year,state,race,count
2018,Massachusetts,O,3
2018,Michigan,O,21
2018,Minnesota,O,12
2018,Mississippi,O,10
2018,Missouri,O,24
2018,Montana,O,6
2018,Nebraska,O,1
2018,Nevada,O,22
2018,New Hampshire,O,2
2018,New Jersey,O,12
2018,New Mexico,O,20
2018,New York,O,15
2018,North Carolina,O,25
2018,North Dakota,O,4
2018,Ohio,O,32
2018,Oklahoma,O,33
2018,Oregon,O,17
2018,Pennsylvania,O,23
2018,Rhode Island,O,1
2018,South Carolina,O,12
2018,South Dakota,O,3
2018,Tennessee,O,26
2018,Texas,O,85
2018,Utah,O,18
2018,Vermont,O,2
2018,Virginia,O,18
2018,Washington,O,22
2018,West Virginia,O,7
2018,Wisconsin,O,12
2018,Wyoming,H,1
2018,Wyoming,W,3
2019,Alabama,O,11
2019,Alaska,O,7
2019,Arizona,O,35
2019,Arkansas,O,21
2019,California,O,135
2019,Colorado,O,36
2019,Connecticut,O,4
2019,Delaware,O,2
2019,Florida,O,64
2019,Georgia,O,37
2019,Hawaii,O,7
2019,Idaho,O,7
2019,Illinois,O,13
2019,Indiana,O,16
2019,Iowa,O,5
2019,Kansas,O,9
2019,Kentucky,O,15
2019,Louisiana,O,20
2019,Maine,O,3
2019,Maryland,O,19
2019,Massachusetts,O,5
2019,Michigan,O,13
2019,Minnesota,O,11
2019,Mississippi,O,18
2019,Missouri,O,28
2019,Montana,O,6
2019,Nebraska,O,6
2019,Nevada,O,11
2019,New Hampshire,O,2
2019,New Jersey,O,12
2019,New Mexico,O,18
2019,New York,O,23
2019,North Carolina,O,34
2019,Ohio,O,24
2019,Oklahoma,O,34
2019,Oregon,O,18
2019,Pennsylvania,O,14
2019,South Carolina,O,18
2019,South Dakota,O,3
2019,Tennessee,O,33
2019,Texas,O,108
2019,Utah,O,12
2019,Vermont,O,3
2019,Virginia,O,10
2019,Washington,O,36
2019,West Virginia,O,13
2019,Wisconsin,O,18
2019,Wyoming,N,1
2020,Alabama,O,13
2020,Alaska,O,6
2020,Arizona,O,23
2020,Arkansas,O,10
2020,California,O,68
2020,Colorado,O,30
2020,Connecticut,O,4
2020,Delaware,O,1
2020,Florida,O,47
2020,Georgia,O,19
2020,Hawaii,O,1
2020,Idaho,O,3
2020,Illinois,O,4
2020,Indiana,O,11
2020,Iowa,O,2
2020,Kansas,O,3
2020,Kentucky,O,11
2020,Louisiana,O,10
2020,Maine,O,3
2020,Maryland,O,9
2020,Massachusetts,O,3
2020,Michigan,O,3
2020,Minnesota,O,3
2020,Mississippi,O,4
2020,Missouri,O,18
2020,Montana,O,6
2020,Nebraska,O,2
2020,Nevada,O,16
2020,New Hampshire,O,1
2020,New Jersey,O,5
2020,New Mexico,O,5
2020,New York,O,12
2020,North Carolina,O,18
2020,North Dakota,O,2
2020,Ohio,O,11
2020,Oklahoma,O,14
2020,Oregon,O,11
2020,Pennsylvania,O,11
2020,South Carolina,O,11
2020,South Dakota,O,1
2020,Tennessee,O,14
2020,Texas,O,42
2020,Utah,O,5
2020,Virginia,O,9
2020,Washington,O,14
2020,West Virginia,O,1
2020,Wisconsin,O,11
