date,count,total
3/22/2016,2,1220
3/23/2016,3,1223
3/24/2016,6,1229
3/26/2016,4,1233
3/27/2016,5,1238
3/29/2016,3,1241
3/30/2016,3,1244
3/31/2016,4,1248
4/1/2016,2,1250
4/2/2016,1,1251
4/3/2016,4,1255
4/4/2016,1,1256
4/5/2016,2,1258
4/6/2016,3,1261
4/7/2016,2,1263
4/8/2016,3,1266
4/9/2016,2,1268
4/10/2016,3,1271
4/11/2016,2,1273
4/12/2016,3,1276
4/13/2016,3,1279
4/14/2016,1,1280
4/15/2016,3,1283
4/16/2016,1,1284
4/17/2016,5,1289
4/18/2016,2,1291
4/19/2016,3,1294
4/20/2016,2,1296
4/21/2016,1,1297
4/22/2016,2,1299
4/23/2016,5,1304
4/25/2016,1,1305
4/26/2016,4,1309
4/27/2016,3,1312
4/28/2016,4,1316
4/29/2016,1,1317
4/30/2016,4,1321
5/1/2016,2,1323
5/2/2016,1,1324
5/3/2016,1,1325
5/4/2016,4,1329
5/5/2016,3,1332
5/6/2016,1,1333
5/7/2016,3,1336
5/8/2016,1,1337
5/9/2016,6,1343
5/10/2016,1,1344
5/11/2016,4,1348
5/13/2016,1,1349
5/14/2016,4,1353
5/15/2016,1,1354
5/16/2016,1,1355
5/17/2016,1,1356
5/18/2016,3,1359
5/19/2016,5,1364
5/20/2016,1,1365
5/21/2016,3,1368
5/22/2016,4,1372
5/23/2016,1,1373
5/24/2016,3,1376
5/25/2016,2,1378
5/26/2016,7,1385
5/27/2016,1,1386
5/28/2016,2,1388
5/29/2016,4,1392
5/30/2016,2,1394
5/31/2016,1,1395
6/1/2016,3,1398
6/2/2016,2,1400
6/3/2016,2,1402
6/4/2016,3,1405
6/5/2016,1,1406
6/6/2016,2,1408
6/7/2016,4,1412
6/8/2016,1,1413
6/9/2016,5,1418
6/10/2016,4,1422
6/11/2016,2,1424
6/12/2016,3,1427
6/13/2016,4,1431
6/14/2016,4,1435
6/15/2016,2,1437
6/16/2016,4,1441
6/18/2016,3,1444
6/19/2016,2,1446
6/20/2016,2,1448
6/21/2016,3,1451
6/22/2016,6,1457
6/23/2016,3,1460
6/24/2016,5,1465
6/25/2016,4,1469
6/26/2016,4,1473
6/27/2016,4,1477
